25    solvable     steps=170   states=2209     0.11s 
26    unsolvable   steps=-     states=1        0.00s 
27    unsolvable   steps=-     states=1        0.00s 
28    timeout      steps=-     states=40500    6.00s 
29    timeout      steps=-     states=33715    6.00s 
2     solvable     steps=4     states=8        0.00s 
30    unsolvable   steps=-     states=1        0.00s 
31    timeout      steps=-     states=36243    6.00s 
32    timeout      steps=-     states=35217    6.00s 
33    timeout      steps=-     states=54478    6.00s 
34    unsolvable   steps=-     states=1        0.00s 
35    timeout      steps=-     states=54903    6.00s 
36    timeout      steps=-     states=39569    6.00s 
37    timeout      steps=-     states=54535    6.00s 
38    timeout      steps=-     states=31286    6.00s 
39    timeout      steps=-     states=21574    6.00s 
3     solvable     steps=9     states=17       0.00s 
40    timeout      steps=-     states=53796    6.00s 
41    timeout      steps=-     states=54989    6.00s 
42    timeout      steps=-     states=51056    6.00s 
43    unsolvable   steps=-     states=1        0.00s 
44    timeout      steps=-     states=38598    6.00s 
45    timeout      steps=-     states=47614    6.00s 
46    unsolvable   steps=-     states=1        0.00s 
47    timeout      steps=-     states=56699    6.00s 
48    timeout      steps=-     states=52738    6.00s 
49    timeout      steps=-     states=41231    6.00s 
4     solvable     steps=172   states=1247     0.05s 
50    solvable     steps=34    states=110      0.01s 
51    timeout      steps=-     states=52973    6.00s 
52    timeout      steps=-     states=32162    6.00s 
53    timeout      steps=-     states=41941    6.00s 
54    unsolvable   steps=-     states=1        0.00s 
55    solvable     steps=28    states=82       0.01s 
56    timeout      steps=-     states=54985    6.00s 
57    unsolvable   steps=-     states=1        0.00s 
58    timeout      steps=-     states=40826    6.00s 
59    timeout      steps=-     states=45425    6.00s 
5     solvable     steps=20    states=91       0.01s 
60    unsolvable   steps=-     states=1        0.00s 
61    timeout      steps=-     states=44558    6.00s 
62    timeout      steps=-     states=35136    6.00s 
63    timeout      steps=-     states=40575    6.00s 
64    timeout      steps=-     states=36454    6.00s 
65    unsolvable   steps=-     states=1        0.00s 
66    unsolvable   steps=-     states=1        0.00s 
67    timeout      steps=-     states=27898    6.00s 
68    timeout      steps=-     states=42283    6.00s 
69    unsolvable   steps=-     states=1        0.00s 
6     solvable     steps=300   states=41346    3.31s 
70    timeout      steps=-     states=42190    6.00s 
71    timeout      steps=-     states=48286    6.00s 
72    unsolvable   steps=-     states=1        0.00s 
73    timeout      steps=-     states=33118    6.00s 
74    unsolvable   steps=-     states=1        0.00s 
75    timeout      steps=-     states=42844    6.00s 
76    unsolvable   steps=-     states=1        0.00s 
77    timeout      steps=-     states=46566    6.00s 
78    unsolvable   steps=-     states=1        0.00s 
79    timeout      steps=-     states=28932    6.00s 
7     timeout      steps=-     states=73656    6.00s 
80    timeout      steps=-     states=37279    6.00s 
81    timeout      steps=-     states=34374    6.00s 
82    unsolvable   steps=-     states=1        0.00s 
83    timeout      steps=-     states=21837    6.00s 
84    timeout      steps=-     states=34622    6.00s 
85    timeout      steps=-     states=25507    6.00s 
86    timeout      steps=-     states=43412    6.00s 
87    unsolvable   steps=-     states=1        0.00s 
